,company,year,doc_id,date,similarity,rescaled_similarity,rescaled_similarity_lagged,num_disc
156,HBAN,2019,0000049196,2019-12-31,0.9484663639929118,0.1491880921728881,,4
157,HBI,2019,0001359841,2019-12-28,0.9492409921860581,0.15228660494547297,,4
158,HCA,2019,0000860730,2019-12-31,0.9401875182733568,0.11607270929466784,,4
159,HCN,2019,0000766704,2019-12-31,0.9393964394250481,0.11290839390143326,,4
160,HCP,2019,0000765880,2019-12-31,0.9405563595078332,0.11754807423257363,,4
161,HES,2019,0000004447,2019-12-31,0.9318503185414981,0.08272391036723326,,4
162,HIG,2019,0000874766,2019-12-31,0.9472525466725493,0.144332822891438,,3
163,HOG,2019,0000793952,2019-12-31,0.9558269852977732,0.17863057739233357,,4
164,HON,2019,0000773840,2019-12-31,0.9509198910699045,0.15900220048085867,,4
165,HSIC,2019,0001000228,2019-12-28,0.9387744738025541,0.11042053141145702,,3
166,HST,2019,0001061937,2019-12-31,0.9434740856404795,0.1292189787631588,,5
167,HSY,2019,0000047111,2019-12-31,0.9586285832327898,0.18983696913239978,,4
168,HUM,2019,0000049071,2019-12-31,0.9366369791439941,0.10187055277721724,,4
169,IBM,2019,0000051143,2019-12-31,0.9584941296432307,0.18929915477416337,,5
170,ICE,2019,0001571949,2019-12-31,0.9583085627491037,0.1885568871976555,,3
171,IDXX,2019,0000874716,2019-12-31,0.9529388874687234,0.16707818607613412,,4
172,IFF,2019,0000051253,2019-12-31,0.9558380468037041,0.17867482341605712,,4
173,INTC,2019,0000050863,2019-12-28,0.9547517285408793,0.17432955036475795,,3
174,IP,2019,0000051434,2019-12-31,0.9458686931679626,0.13879740887309122,,5
175,IPG,2019,0000051644,2019-12-31,0.9603680975127952,0.1967950262524214,,4
176,IR,2019,0001466258,2019-12-31,0.9469178288127567,0.14299395145226734,,4
177,IRM,2019,0001020569,2019-12-31,0.9495149619922827,0.15338248417037148,,4
178,ISRG,2019,0001035267,2019-12-31,0.9463928294529128,0.14089395401289195,,4
179,ITW,2019,0000049826,2019-12-31,0.9532008430082728,0.16812600823433188,,4
180,IVZ,2019,0000914208,2019-12-31,0.9701431442379557,0.2358952131530634,,4
181,JBHT,2019,0000728535,2019-12-31,0.9412531600177815,0.12033527627236662,,4
182,JNJ,2019,0000200406,2019-12-29,0.947606677744173,0.14574934717793253,,4
183,JNPR,2019,0001043604,2019-12-31,0.9530708005320003,0.16760583832924203,,4
184,JPM,2019,0000019617,2019-12-31,0.9575105482686253,0.18536482927574172,,4
185,K,2019,0000055067,2019-12-28,0.9579323465496425,0.1870520223998109,,4
186,KEY,2019,0000091576,2019-12-31,0.9550259649955046,0.17542649618325923,,4
187,KHC,2019,0001637459,2019-12-28,0.9510247496603473,0.15942163484263006,,4
188,KIM,2019,0000879101,2019-12-31,0.9489970211731815,0.1513107208939668,,5
189,KMB,2019,0000055785,2019-12-31,0.950767540837946,0.15839279955302477,,4
190,KMI,2019,0001506307,2019-12-31,0.9428843263911943,0.12685994176601811,,3
191,KO,2019,0000021344,2019-12-31,0.95929166062088,0.19248927868476073,,4
192,KSU,2019,0000054480,2019-12-31,0.9409215679041409,0.11900890781780449,,4
193,L,2019,0000060086,2019-12-31,0.9484838780583987,0.14925814843483565,,4
194,LEG,2019,0000058492,2019-12-31,0.9383440784741,0.10869895009764052,,4
195,LEN,2019,0000920760,2019-11-30,0.9481923445144114,0.14809201425888618,,4
196,LH,2019,0000920148,2019-12-31,0.9414933284789017,0.12129595011684735,,4
197,LKQ,2019,0001065696,2019-12-31,0.941036486019673,0.1194685802799329,,4
198,LLY,2019,0000059478,2019-12-31,0.9447859695131868,0.13446651425398803,,4
199,LMT,2019,0000936468,2019-12-31,0.9499445006444772,0.1551006387791496,,4
200,LNC,2019,0000059558,2019-12-31,0.9401574579510916,0.11595246800560721,,4
201,LNT,2019,0000052485,2019-12-31,0.9389477663848386,0.11111370174059498,,4
202,LUK,2019,0000096223,2019-11-30,0.9500415168158861,0.15548870346478516,,4
203,LUV,2019,0000092380,2019-12-31,0.9478054534224534,0.1465444498910542,,4
204,LVLT,2019,0000794323,2019-12-31,0.950430320721508,0.15704391908727278,,4
205,LYB,2019,0001489393,2019-12-31,0.9427981127969722,0.12651508738912964,,3
206,MA,2019,0001141391,2019-12-31,0.9530290352342325,0.1674387771381709,,5
207,MAA,2019,0000912595,2019-12-31,0.9484619012912532,0.14917024136625345,,4
208,MAC,2019,0000912242,2019-12-31,0.9396649788755829,0.11398255170357219,,4
209,MAR,2019,0001048286,2019-12-31,0.9549254922436942,0.17502460517601737,,4
210,MAS,2019,0000062996,2019-12-31,0.9594904695276572,0.19328451431186933,,4
211,MAT,2019,0000063276,2019-12-31,0.9538464872411254,0.1707085851657424,,4
212,MCD,2019,0000063908,2019-12-31,0.9274444356495604,0.06510037879948216,,1
213,MCO,2019,0001059556,2019-12-31,0.9538253466561579,0.1706240228258724,,4
214,MDLZ,2019,0001103982,2019-12-31,0.9586025617182105,0.18973288307408254,,4
215,MET,2019,0001099219,2019-12-31,0.9443232411036622,0.1326156006158894,,4
216,MHK,2019,0000851968,2019-12-31,0.9512134683598877,0.16017650964079166,,4
217,MKC,2019,0000063754,2019-11-30,0.956414207189032,0.18097946495736883,,4
218,MLM,2019,0000916076,2019-12-31,0.9483500250131641,0.1487227362538972,,4
219,MMC,2019,0000062709,2019-12-31,0.954015570095037,0.17138491658138877,,4
220,MMM,2019,0000066740,2019-12-31,0.9511664937787009,0.15998861131604425,,4
221,MNK,2019,0001567892,2019-12-27,0.9387309174171138,0.11024630586969586,,4
222,MNST,2019,0000865752,2019-12-31,0.9518027896840697,0.16253379493751963,,4
223,MO,2019,0000764180,2019-12-31,0.9421404877672653,0.12388458727030205,,5
224,MOS,2019,0001285785,2019-12-31,0.945387374866202,0.1368721356660485,,4
225,MPC,2019,0001510295,2019-12-31,0.9422491559349517,0.12431925994104764,,4
226,MRK,2019,0000310158,2019-12-31,0.9504787830039929,0.15723776821721236,,4
227,MRO,2019,0000101778,2019-12-31,0.9332134779654165,0.08817654806290687,,4
228,MS,2019,0000895421,2019-12-31,0.9336579497103769,0.08995443504274814,,2
229,MSI,2019,0000068505,2019-12-31,0.9570704876890281,0.18360458695735327,,4
230,MTB,2019,0000036270,2019-12-31,0.9492068532977991,0.15215004939243704,,4
231,MTD,2019,0001037646,2019-12-31,0.9523430809171045,0.16469495986965876,,4
232,MUR,2019,0000717423,2019-12-31,0.922879901420168,0.04684224188191255,,5
233,MYL,2019,0001623613,2019-12-31,0.9442582442284513,0.13235561311504584,,4
234,NAVI,2019,0001593538,2019-12-31,0.9429277152847072,0.12703349734006952,,4
235,NBL,2019,0000072207,2019-12-31,0.9360419837604983,0.0994905712432339,,4
236,NDAQ,2019,0001120193,2019-12-31,0.9558189834652593,0.17859857006227786,,4
237,NEE,2019,0000037634,2019-12-31,0.9393982913555701,0.112915801623521,,4
238,NEM,2019,0001164727,2019-12-31,0.9428722720172991,0.12681172427043697,,4
239,NFLX,2019,0001065280,2019-12-31,0.9530949258410712,0.16770233956552572,,4
240,NI,2019,0001111711,2019-12-31,0.9448586796655742,0.13475735486353768,,4
241,NLSN,2019,0001492633,2019-12-31,0.958216035510568,0.1881867782435127,,4
242,NOC,2019,0001133421,2019-12-31,0.9482512934816814,0.14832781012796614,,4
243,NOV,2019,0001021860,2019-12-31,0.9370034745403306,0.10333653436256318,,4
244,NRG,2019,0001013871,2019-12-31,0.9513817835024619,0.16084977021108848,,4
245,NSC,2019,0000702165,2019-12-31,0.9371071829971135,0.10375136818969466,,4
246,NTRS,2019,0000073124,2019-12-31,0.952407393071255,0.1649522084862607,,4
247,NUE,2019,0000073309,2019-12-31,0.9416503202355839,0.12192391714357642,,4
248,NWL,2019,0000814453,2019-12-31,0.9540854169545672,0.17166430401950938,,4
249,O,2019,0000726728,2019-12-31,0.9335527200790633,0.08953351651749397,,4
250,OKE,2019,0001039684,2019-12-31,0.9474244692443867,0.1450205131787876,,4
251,OMC,2019,0000029989,2019-12-31,0.9532917927900463,0.16848980736142583,,4
252,ORLY,2019,0000898173,2019-12-31,0.9530776513462274,0.16763324158615012,,4
253,OXY,2019,0000797468,2019-12-31,0.9320144804523006,0.0833805580104432,,4
254,PBCT,2019,0001378946,2019-12-31,0.952601471403559,0.1657285218154767,,5
255,PBI,2019,0000078814,2019-12-31,0.9565313694634502,0.18144811405504147,,4
256,PCAR,2019,0000075362,2019-12-31,0.9388061982512287,0.11054742920615546,,4
257,PCG,2019,0000075488,2019-12-31,0.9248180249801846,0.05459473612197918,,4
258,PCLN,2019,0001075531,2019-12-31,0.9581965627029339,0.18810888701297612,,4
259,PEG,2019,0000081033,2019-12-31,0.9451315957653712,0.13584901926272552,,4
260,PEP,2019,0000077476,2019-12-28,0.9547086639371181,0.17415729194971297,,4
261,PFE,2019,0000078003,2019-12-31,0.94733285191586,0.14465404386468084,,5
262,PFG,2019,0001126328,2019-12-31,0.9451379747925679,0.13587453537151228,,4
263,PGR,2019,0000080661,2019-12-31,0.9788871348859698,0.2708711757451199,,5
264,PHM,2019,0000822416,2019-12-31,0.940040990824905,0.11548659950086071,,3
265,PKI,2019,0000031791,2019-12-29,0.9557251398629809,0.17822319565316436,,4
266,PLD,2019,0001045609,2019-12-31,0.9564471689754172,0.18111131210290932,,4
267,PM,2019,0001413329,2019-12-31,0.9575898564299495,0.18568206192103887,,4
268,PNC,2019,0000713676,2019-12-31,0.9562571333607068,0.18035116964406805,,5
269,PNR,2019,0000077360,2019-12-31,0.9488742515684283,0.15081964247495394,,4
270,PNW,2019,0000007286,2019-12-31,0.9480893537917252,0.14768005136814155,,4
271,PPG,2019,0000079879,2019-12-31,0.9441258671668008,0.13182610486844393,,4
272,PPL,2019,0000055387,2019-12-31,0.9370830052574557,0.10365465723106349,,5
273,PRGO,2019,0001585364,2019-12-31,0.9402334172145465,0.11625630505942652,,4
274,PRU,2019,0001137774,2019-12-31,0.9532420784616698,0.16829095004791972,,4
